PARA
DIS
WBD
NFLX
AMZN
WMT
TGT
ACU
ASTL
BGFV
BSET
CHK
CLAR
CSTE
CYD
DAC
EBIX
EPM
EQT
ESEA
EVC
GIC
GRNT
GSL
HPK
III
IIIN
JOUT
JRSH
LXFR
LZB
MLI
MVBF
NMM
NTIC
PCTI
SCVL
SM
TRS
VBNK
VINP
WLKP
LGF-A
AMC
CHTR
CMCSA
CNK
DISH
DLPN
EDR
GNUS
GSMG
IMAX
LBRDA
LBRDK
LBTYA
LBTYK
LVO
LYV
MCS
MSGE
MSGS
RDI
ROKU
WMG
WWE
HAS
MAT
PLNT
HEAR
VST
NRG
TAC
AES
ALE
AVA
BIP
BKH
CIG
D
ELP
ETR
EXC
FE
MGEE
MNTK
NGG
NWE
OTTR
PEG
SJI
SRE
